fixture_id,market,our_prob,won,date,league_id,league_name,diff_absent_goal_share,diff_absent_minutes_share,diff_keeper_absent,diff_n_regular_absences,home_n_absent_total,away_n_absent_total
1394707,btts,0.5337001375515819,0,2026-04-26 17:00:00.000000,203,Süper Lig (Turkey),,0.0,0,0,2,1
1394707,ou25,0.5722222222222224,1,2026-04-26 17:00:00.000000,203,Süper Lig (Turkey),,0.0,0,0,2,1
1394707,ou15,0.8226950354609929,1,2026-04-26 17:00:00.000000,203,Süper Lig (Turkey),,0.0,0,0,2,1
1400244,h2h,0.5196604647967803,1,2026-04-26 11:00:00.000000,235,Premier League (Russia),,0.0,0,0,1,1
1400244,btts,0.5337001375515819,1,2026-04-26 11:00:00.000000,235,Premier League (Russia),,0.0,0,0,1,1
1400244,ou25,0.5165165165165165,1,2026-04-26 11:00:00.000000,235,Premier League (Russia),,0.0,0,0,1,1
1400244,ou15,0.8226950354609929,1,2026-04-26 11:00:00.000000,235,Premier League (Russia),,0.0,0,0,1,1
1400242,h2h,0.96252490776474,1,2026-04-26 14:00:00.000000,235,Premier League (Russia),0.0,0.0,0,0,5,2
1400242,btts,0.5337001375515819,1,2026-04-26 14:00:00.000000,235,Premier League (Russia),0.0,0.0,0,0,5,2
1400242,ou25,0.5722222222222224,1,2026-04-26 14:00:00.000000,235,Premier League (Russia),0.0,0.0,0,0,5,2
1400242,ou15,0.8226950354609929,1,2026-04-26 14:00:00.000000,235,Premier League (Russia),0.0,0.0,0,0,5,2
1400246,h2h,0.8436274751686371,1,2026-04-26 16:30:00.000000,235,Premier League (Russia),0.0,0.0,0,0,3,1
1400246,btts,0.5337001375515819,0,2026-04-26 16:30:00.000000,235,Premier League (Russia),0.0,0.0,0,0,3,1
1400246,ou25,0.5722222222222224,0,2026-04-26 16:30:00.000000,235,Premier League (Russia),0.0,0.0,0,0,3,1
1400246,ou15,0.784,1,2026-04-26 16:30:00.000000,235,Premier League (Russia),0.0,0.0,0,0,3,1
1394703,h2h,0.3754229841724002,0,2026-04-27 14:00:00.000000,203,Süper Lig (Turkey),-0.1875,-0.3178112995408976,0,0,2,5
1394703,btts,0.5337001375515819,1,2026-04-27 14:00:00.000000,203,Süper Lig (Turkey),-0.1875,-0.3178112995408976,0,0,2,5
1394703,ou25,0.5182186234817815,1,2026-04-27 14:00:00.000000,203,Süper Lig (Turkey),-0.1875,-0.3178112995408976,0,0,2,5
1394703,ou15,0.7330508474576272,1,2026-04-27 14:00:00.000000,203,Süper Lig (Turkey),-0.1875,-0.3178112995408976,0,0,2,5
1394711,h2h,0.3894994752760564,1,2026-04-27 17:00:00.000000,203,Süper Lig (Turkey),0.15384615384615385,0.3451673954186517,0,0,8,4
1394711,btts,0.5337001375515819,1,2026-04-27 17:00:00.000000,203,Süper Lig (Turkey),0.15384615384615385,0.3451673954186517,0,0,8,4
1394711,ou25,0.5182186234817815,1,2026-04-27 17:00:00.000000,203,Süper Lig (Turkey),0.15384615384615385,0.3451673954186517,0,0,8,4
1394711,ou15,0.7330508474576272,1,2026-04-27 17:00:00.000000,203,Süper Lig (Turkey),0.15384615384615385,0.3451673954186517,0,0,8,4
1387929,h2h,0.8591443387041952,1,2026-04-22 17:00:00.000000,61,Ligue 1 (France),0.0,0.0,0,0,3,6
1387929,btts,0.5948717948717949,1,2026-04-22 17:00:00.000000,61,Ligue 1 (France),0.0,0.0,0,0,3,6
1387929,ou25,0.5722222222222224,1,2026-04-22 17:00:00.000000,61,Ligue 1 (France),0.0,0.0,0,0,3,6
1387929,ou15,0.8235294117647058,1,2026-04-22 17:00:00.000000,61,Ligue 1 (France),0.0,0.0,0,0,3,6
1387969,h2h,0.34662850788707894,1,2026-04-24 18:45:00.000000,61,Ligue 1 (France),0.0,0.0,0,0,3,3
1387969,btts,0.5337001375515819,1,2026-04-24 18:45:00.000000,61,Ligue 1 (France),0.0,0.0,0,0,3,3
1387969,ou25,0.5182186234817815,0,2026-04-24 18:45:00.000000,61,Ligue 1 (France),0.0,0.0,0,0,3,3
1387969,ou15,0.7330508474576272,1,2026-04-24 18:45:00.000000,61,Ligue 1 (France),0.0,0.0,0,0,3,3
1387972,h2h,0.6669053761241093,1,2026-04-25 13:00:00.000000,61,Ligue 1 (France),0.36363636363636365,0.4911045218680504,0,0,4,3
1387972,btts,0.5337001375515819,1,2026-04-25 13:00:00.000000,61,Ligue 1 (France),0.36363636363636365,0.4911045218680504,0,0,4,3
1387972,ou25,0.5165165165165165,1,2026-04-25 13:00:00.000000,61,Ligue 1 (France),0.36363636363636365,0.4911045218680504,0,0,4,3
1387972,ou15,0.784,1,2026-04-25 13:00:00.000000,61,Ligue 1 (France),0.36363636363636365,0.4911045218680504,0,0,4,3
1387968,h2h,0.8043479480684003,1,2026-04-25 17:00:00.000000,61,Ligue 1 (France),0.0,0.0,0,0,6,3
1387968,btts,0.5948717948717949,1,2026-04-25 17:00:00.000000,61,Ligue 1 (France),0.0,0.0,0,0,6,3
1387968,ou25,0.5182186234817815,1,2026-04-25 17:00:00.000000,61,Ligue 1 (France),0.0,0.0,0,0,6,3
1387968,ou15,0.7330508474576272,1,2026-04-25 17:00:00.000000,61,Ligue 1 (France),0.0,0.0,0,0,6,3
1387976,h2h,0.4230785579638627,0,2026-04-25 19:05:00.000000,61,Ligue 1 (France),0.6666666666666666,0.41953649555988737,0,0,4,7
1387976,btts,0.5337001375515819,1,2026-04-25 19:05:00.000000,61,Ligue 1 (France),0.6666666666666666,0.41953649555988737,0,0,4,7
1387976,ou25,0.5182186234817815,1,2026-04-25 19:05:00.000000,61,Ligue 1 (France),0.6666666666666666,0.41953649555988737,0,0,4,7
1387976,ou15,0.7330508474576272,1,2026-04-25 19:05:00.000000,61,Ligue 1 (France),0.6666666666666666,0.41953649555988737,0,0,4,7
1388584,h2h,0.5397403046972368,1,2026-04-24 18:30:00.000000,78,Bundesliga (Germany),-0.06493506493506493,0.17694021268013013,1,0,6,4
1388584,btts,0.5337001375515819,1,2026-04-24 18:30:00.000000,78,Bundesliga (Germany),-0.06493506493506493,0.17694021268013013,1,0,6,4
1388584,ou25,0.5165165165165165,1,2026-04-24 18:30:00.000000,78,Bundesliga (Germany),-0.06493506493506493,0.17694021268013013,1,0,6,4
1388584,ou15,0.7330508474576272,1,2026-04-24 18:30:00.000000,78,Bundesliga (Germany),-0.06493506493506493,0.17694021268013013,1,0,6,4
1388586,h2h,0.4704912058437964,0,2026-04-25 13:30:00.000000,78,Bundesliga (Germany),0.16666666666666666,0.24224974891195178,0,0,6,2
